dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
NL-25,default,,22,22,22,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/descending_size_vocab.pkl,1,18,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/descending_size_vocab.pkl,4,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/ascending_size_vocab.pkl,1,18,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/ascending_size_vocab.pkl,2,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/ascending_size_vocab.pkl,4,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/default_vocab.pkl,1,18,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/default_vocab.pkl,2,17,14,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/randomWalks/default_vocab.pkl,4,17,14,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/descending_size_vocab.pkl,1,18,16,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/descending_size_vocab.pkl,2,17,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/descending_size_vocab.pkl,4,17,16,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/ascending_size_vocab.pkl,1,19,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/ascending_size_vocab.pkl,2,17,14,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/ascending_size_vocab.pkl,4,17,14,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/default_vocab.pkl,1,19,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/default_vocab.pkl,2,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/VandR/default_vocab.pkl,4,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/descending_size_vocab.pkl,1,21,15,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/descending_size_vocab.pkl,2,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/descending_size_vocab.pkl,4,17,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/ascending_size_vocab.pkl,1,21,15,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/ascending_size_vocab.pkl,2,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/ascending_size_vocab.pkl,4,17,15,15,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/default_vocab.pkl,1,21,15,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/default_vocab.pkl,2,17,14,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-custom/E/default_vocab.pkl,4,17,14,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/descending_size_vocab.pkl,1,23,22,22,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/descending_size_vocab.pkl,2,21,17,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/descending_size_vocab.pkl,4,20,15,16,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/ascending_size_vocab.pkl,1,23,22,22,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/ascending_size_vocab.pkl,2,21,17,17,False
NL-25,Vocabularies/NELL-995_all/NL-25/KG-finetuned/VandR/ascending_size_vocab.pkl,4,20,15,15,False
NL-50,default,,22,22,22,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/descending_size_vocab.pkl,1,18,18,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/descending_size_vocab.pkl,2,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/descending_size_vocab.pkl,4,17,17,17,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/ascending_size_vocab.pkl,1,18,18,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/ascending_size_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/ascending_size_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/default_vocab.pkl,1,18,18,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/default_vocab.pkl,2,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/randomWalks/default_vocab.pkl,4,17,16,16,False
NL-50,Vocabularies/NELL-995_all/NL-50/KG-custom/VandR/descending_size_vocab.pkl,1,18,18,16,False
