dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
WN18RR_v1_ind_labeled,default,,13,12,13,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/descending_size_vocab.pkl,1,17,12,12,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/descending_size_vocab.pkl,2,16,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/descending_size_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/ascending_size_vocab.pkl,1,17,12,11,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/ascending_size_vocab.pkl,2,16,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/ascending_size_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/default_vocab.pkl,1,17,12,11,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/default_vocab.pkl,2,16,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/randomWalks/default_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/descending_size_vocab.pkl,1,18,18,15,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/descending_size_vocab.pkl,2,18,18,15,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/descending_size_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/ascending_size_vocab.pkl,1,17,17,15,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/ascending_size_vocab.pkl,2,12,12,11,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/ascending_size_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/default_vocab.pkl,1,18,18,16,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/default_vocab.pkl,2,15,15,13,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/VandR/default_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/descending_size_vocab.pkl,1,17,12,11,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/descending_size_vocab.pkl,2,16,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/descending_size_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/ascending_size_vocab.pkl,1,17,12,11,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/ascending_size_vocab.pkl,2,16,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/ascending_size_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/default_vocab.pkl,1,17,12,11,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/default_vocab.pkl,2,16,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-custom/E/default_vocab.pkl,4,12,12,10,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-finetuned/VandR/descending_size_vocab.pkl,1,20,20,19,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-finetuned/VandR/descending_size_vocab.pkl,2,19,19,17,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-finetuned/VandR/descending_size_vocab.pkl,4,16,16,14,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-finetuned/VandR/ascending_size_vocab.pkl,1,20,20,19,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-finetuned/VandR/ascending_size_vocab.pkl,2,19,19,17,False
WN18RR_v1_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v1_ind_labeled/KG-finetuned/VandR/ascending_size_vocab.pkl,4,16,16,14,False
WN18RR_v3_ind_labeled,default,,19,14,15,False
WN18RR_v3_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v3_ind_labeled/KG-custom/randomWalks/descending_size_vocab.pkl,1,19,12,12,False
WN18RR_v3_ind_labeled,Vocabularies/WNN18RR_all/WN18RR_v3_ind_labeled/KG-custom/randomWalks/descending_size_vocab.pkl,2,15,12,12,False
