dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
WK-50_uslabeled,default,,24,35,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,1,26,41,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,1,24,41,43,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/default_vocab.pkl,1,24,41,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/default_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/randomWalks/default_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/descending_size_vocab.pkl,1,26,41,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/descending_size_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/descending_size_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/ascending_size_vocab.pkl,1,23,41,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/ascending_size_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/ascending_size_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/default_vocab.pkl,1,24,42,43,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/default_vocab.pkl,2,19,39,40,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/VandR/default_vocab.pkl,4,19,39,40,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/descending_size_vocab.pkl,1,24,42,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/descending_size_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/descending_size_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/ascending_size_vocab.pkl,1,24,42,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/ascending_size_vocab.pkl,2,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/ascending_size_vocab.pkl,4,19,39,42,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/default_vocab.pkl,1,24,42,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/default_vocab.pkl,2,19,39,41,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-custom/E/default_vocab.pkl,4,19,39,41,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-finetuned/VandR/descending_size_vocab.pkl,1,27,36,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-finetuned/VandR/descending_size_vocab.pkl,2,23,30,39,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-finetuned/VandR/descending_size_vocab.pkl,4,21,27,38,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-finetuned/VandR/ascending_size_vocab.pkl,1,26,36,44,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-finetuned/VandR/ascending_size_vocab.pkl,2,22,31,39,True
WK-50_uslabeled,Vocabularies/Wikidata/WK-50_uslabeled/KG-finetuned/VandR/ascending_size_vocab.pkl,4,21,27,36,True
WK-75_uslabeled,default,,34,30,19,False
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,1,32,37,24,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,2,28,33,23,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,4,25,33,23,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,1,32,37,24,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,2,25,33,24,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,4,25,33,24,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/default_vocab.pkl,1,32,37,24,True
WK-75_uslabeled,Vocabularies/Wikidata/WK-75_uslabeled/KG-custom/randomWalks/default_vocab.pkl,2,27,36,23,True
