dataset,vocab,vocab_size,max_train_size,max_valid_size,max_test_size,truncation needed
fb237_v1_uslabeled,default,,58,40,36,False
fb237_v3_uslabeled,default,,58,58,41,False
fb237_v1_ind_uslabeled,default,,58,39,36,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,1,86,37,39,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,2,31,29,23,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,1,88,40,41,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,2,31,31,23,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/ascending_size_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/default_vocab.pkl,1,86,37,40,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/default_vocab.pkl,2,31,29,23,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/randomWalks/default_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/descending_size_vocab.pkl,1,56,35,31,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/descending_size_vocab.pkl,2,36,30,23,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/descending_size_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/ascending_size_vocab.pkl,1,55,36,34,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/ascending_size_vocab.pkl,2,35,30,29,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/ascending_size_vocab.pkl,4,29,29,21,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/default_vocab.pkl,1,54,36,30,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/default_vocab.pkl,2,36,29,29,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/VandR/default_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/descending_size_vocab.pkl,1,84,36,32,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/descending_size_vocab.pkl,2,57,29,22,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/descending_size_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/ascending_size_vocab.pkl,1,84,35,32,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/ascending_size_vocab.pkl,2,55,29,22,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/ascending_size_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/default_vocab.pkl,1,84,36,32,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/default_vocab.pkl,2,59,29,22,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-custom/E/default_vocab.pkl,4,29,29,20,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-finetuned/VandR/descending_size_vocab.pkl,1,84,53,53,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-finetuned/VandR/descending_size_vocab.pkl,2,76,51,46,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-finetuned/VandR/descending_size_vocab.pkl,4,63,43,40,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-finetuned/VandR/ascending_size_vocab.pkl,1,84,53,53,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-finetuned/VandR/ascending_size_vocab.pkl,2,76,51,46,False
fb237_v1_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v1_ind_uslabeled/KG-finetuned/VandR/ascending_size_vocab.pkl,4,63,43,40,False
fb237_v4_ind_uslabeled,default,,58,58,58,False
fb237_v4_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v4_ind_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,1,36,36,36,False
fb237_v4_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v4_ind_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,2,33,33,33,False
fb237_v4_ind_uslabeled,Vocabularies/FB15K237_all/fb237_v4_ind_uslabeled/KG-custom/randomWalks/descending_size_vocab.pkl,4,33,33,33,False
