,,Val,Val
,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'Corpus input')",,
FB-100_uslabeled,randomWalks,1.0,424.43333333333334
FB-100_uslabeled,VandR,3.0,373.27142857142854
FB-100_uslabeled,E,9.0,419.18333333333334
FB-100_uslabeled,,58.0,450.25
FB-25_uslabeled,randomWalks,1.0,398.84444444444443
FB-25_uslabeled,VandR,2.0,381.8047619047619
FB-25_uslabeled,E,4.0,413.09444444444443
FB-25_uslabeled,,410.0,626.75
FB-50_uslabeled,E,1.0,415.6222222222222
FB-50_uslabeled,VandR,3.0,379.9452380952381
FB-50_uslabeled,randomWalks,6.0,407.3388888888889
FB-50_uslabeled,,172.0,526.5
FB-75_uslabeled,E,1.0,437.3611111111111
FB-75_uslabeled,VandR,2.0,376.5285714285714
FB-75_uslabeled,randomWalks,3.0,394.0888888888889
FB-75_uslabeled,,42.0,518.75
NL-0,VandR,1.0,361.4405286343612
NL-0,randomWalks,30.0,503.83417085427135
NL-0,E,56.0,520.520202020202
NL-0,,255.0,588.6111111111111
NL-100,VandR,1.0,363.752380952381
NL-100,randomWalks,3.0,415.55
NL-100,E,11.0,435.7
NL-100,,521.0,664.9166666666666
NL-25,randomWalks,1.0,447.4095744680851
NL-25,VandR,2.0,365.3425287356322
NL-25,E,22.0,490.65263157894736
NL-25,,25.0,455.8
NL-50,VandR,1.0,369.8041474654378
NL-50,randomWalks,3.0,462.4397905759162
NL-50,E,8.0,473.47340425531917
NL-50,,52.0,350.93333333333334
NL-75,VandR,1.0,366.88169642857144
NL-75,randomWalks,22.0,487.3265306122449
NL-75,E,25.0,509.2690355329949
NL-75,,148.0,488.5882352941176
WK-100_uslabeled,E,1.0,383.76666666666665
WK-100_uslabeled,VandR,3.0,395.3595238095238
WK-100_uslabeled,randomWalks,11.0,408.4111111111111
WK-100_uslabeled,,49.0,439.75
WK-25_uslabeled,VandR,1.0,358.8095238095238
WK-25_uslabeled,randomWalks,3.0,432.9222222222222
WK-25_uslabeled,E,11.0,452.9277777777778
WK-25_uslabeled,,145.0,313.9166666666667
WK-50_uslabeled,randomWalks,1.0,382.77777777777777
WK-50_uslabeled,E,6.0,429.56666666666666
WK-50_uslabeled,VandR,8.0,388.2142857142857
WK-50_uslabeled,,157.0,387.3333333333333
WK-75_uslabeled,VandR,1.0,386.1857142857143
WK-75_uslabeled,E,2.0,394.25
WK-75_uslabeled,randomWalks,5.0,417.45
WK-75_uslabeled,,115.0,477.0
WN18RR_v1_ind_labeled,VandR,1.0,329.0642857142857
WN18RR_v1_ind_labeled,,49.0,336.8333333333333
WN18RR_v1_ind_labeled,randomWalks,76.0,505.9222222222222
WN18RR_v1_ind_labeled,E,82.0,446.60555555555555
WN18RR_v2_ind_labeled,randomWalks,1.0,447.8666666666667
WN18RR_v2_ind_labeled,VandR,2.0,353.4761904761905
WN18RR_v2_ind_labeled,E,3.0,458.22222222222223
WN18RR_v2_ind_labeled,,15.0,206.0
WN18RR_v3_ind_labeled,VandR,1.0,376.5452380952381
WN18RR_v3_ind_labeled,E,2.0,430.4166666666667
WN18RR_v3_ind_labeled,randomWalks,8.0,410.0
WN18RR_v3_ind_labeled,,53.0,383.6666666666667
WN18RR_v4_ind_labeled,VandR,1.0,388.18333333333334
WN18RR_v4_ind_labeled,E,2.0,401.97222222222223
WN18RR_v4_ind_labeled,randomWalks,5.0,416.0888888888889
WN18RR_v4_ind_labeled,,85.0,302.6666666666667
fb237_v1_ind_uslabeled,VandR,1.0,747.6750348675035
fb237_v1_ind_uslabeled,E,2.0,708.0027777777777
fb237_v1_ind_uslabeled,randomWalks,6.0,717.8033707865169
fb237_v1_ind_uslabeled,,17.0,571.9090909090909
fb237_v2_ind_uslabeled,randomWalks,1.0,656.4568245125348
fb237_v2_ind_uslabeled,E,2.0,699.7675070028012
fb237_v2_ind_uslabeled,VandR,3.0,782.1961057023644
fb237_v2_ind_uslabeled,,37.0,716.0833333333334
fb237_v3_ind_uslabeled,randomWalks,1.0,656.4833333333333
fb237_v3_ind_uslabeled,VandR,2.0,773.7242339832869
fb237_v3_ind_uslabeled,E,13.0,707.5905292479108
fb237_v3_ind_uslabeled,,35.0,920.75
fb237_v4_ind_uslabeled,randomWalks,1.0,576.6
fb237_v4_ind_uslabeled,VandR,2.0,646.815
fb237_v4_ind_uslabeled,E,8.0,573.2228412256268
fb237_v4_ind_uslabeled,,21.0,675.6666666666666
nell_v1_ind,randomWalks,1.0,354.39444444444445
nell_v1_ind,E,4.0,384.3333333333333
nell_v1_ind,VandR,22.0,420.5238095238095
nell_v1_ind,,99.0,264.75
nell_v2_ind,VandR,1.0,367.8690476190476
nell_v2_ind,E,7.0,438.31111111111113
nell_v2_ind,randomWalks,8.0,428.6
nell_v2_ind,,25.0,289.9166666666667
nell_v3_ind,randomWalks,1.0,428.4611111111111
nell_v3_ind,E,3.0,418.89444444444445
nell_v3_ind,VandR,7.0,375.93809523809523
nell_v3_ind,,41.0,291.8333333333333
nell_v4_ind,VandR,1.0,381.4642857142857
nell_v4_ind,E,2.0,398.4888888888889
nell_v4_ind,randomWalks,10.0,433.6611111111111
nell_v4_ind,,47.0,326.5
