,,Val,Val
,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'KG pool')",,
FB-100_uslabeled,KG-custom,1.0,411.3648148148148
FB-100_uslabeled,KG-finetuned,3.0,365.525
FB-100_uslabeled,KG-pretrained,8.0,355.2083333333333
FB-100_uslabeled,original_BytE,58.0,450.25
FB-25_uslabeled,KG-custom,1.0,399.2925925925926
FB-25_uslabeled,KG-finetuned,2.0,372.275
FB-25_uslabeled,KG-pretrained,15.0,385.1333333333333
FB-25_uslabeled,original_BytE,410.0,626.75
FB-50_uslabeled,KG-custom,1.0,399.31111111111113
FB-50_uslabeled,KG-pretrained,3.0,395.7083333333333
FB-50_uslabeled,KG-finetuned,4.0,371.64166666666665
FB-50_uslabeled,original_BytE,172.0,526.5
FB-75_uslabeled,KG-custom,1.0,398.0759259259259
FB-75_uslabeled,KG-pretrained,13.0,377.375
FB-75_uslabeled,KG-finetuned,22.0,396.30833333333334
FB-75_uslabeled,original_BytE,42.0,518.75
NL-0,KG-finetuned,1.0,287.7985074626866
NL-0,KG-pretrained,2.0,230.15833333333333
NL-0,KG-custom,17.0,504.5829145728643
NL-0,original_BytE,255.0,588.6111111111111
NL-100,KG-custom,1.0,403.14444444444445
NL-100,KG-pretrained,6.0,363.8666666666667
NL-100,KG-finetuned,40.0,371.9916666666667
NL-100,original_BytE,521.0,664.9166666666666
NL-25,KG-custom,1.0,457.61552028218694
NL-25,KG-finetuned,2.0,312.5
NL-25,KG-pretrained,5.0,311.81666666666666
NL-25,original_BytE,25.0,455.8
NL-50,KG-finetuned,1.0,358.808
NL-50,KG-custom,2.0,448.9595070422535
NL-50,KG-pretrained,5.0,316.45
NL-50,original_BytE,52.0,350.93333333333334
NL-75,KG-finetuned,1.0,309.21374045801525
NL-75,KG-pretrained,6.0,299.34166666666664
NL-75,KG-custom,11.0,480.9779661016949
NL-75,original_BytE,148.0,488.5882352941176
WK-100_uslabeled,KG-custom,1.0,394.3833333333333
WK-100_uslabeled,KG-pretrained,4.0,384.4916666666667
WK-100_uslabeled,KG-finetuned,17.0,412.80833333333334
WK-100_uslabeled,original_BytE,49.0,439.75
WK-25_uslabeled,KG-custom,1.0,414.4537037037037
WK-25_uslabeled,KG-pretrained,7.0,345.8833333333333
WK-25_uslabeled,KG-finetuned,28.0,373.68333333333334
WK-25_uslabeled,original_BytE,145.0,313.9166666666667
WK-50_uslabeled,KG-custom,1.0,403.5314814814815
WK-50_uslabeled,KG-finetuned,26.0,402.35833333333335
WK-50_uslabeled,KG-pretrained,27.0,359.01666666666665
WK-50_uslabeled,original_BytE,157.0,387.3333333333333
WK-75_uslabeled,KG-custom,1.0,393.77777777777777
WK-75_uslabeled,KG-pretrained,31.0,404.01666666666665
WK-75_uslabeled,KG-finetuned,40.0,393.18333333333334
WK-75_uslabeled,original_BytE,115.0,477.0
WN18RR_v1_ind_labeled,KG-pretrained,1.0,216.65
WN18RR_v1_ind_labeled,KG-finetuned,4.0,306.8833333333333
WN18RR_v1_ind_labeled,KG-custom,28.0,457.1074074074074
WN18RR_v1_ind_labeled,original_BytE,49.0,336.8333333333333
WN18RR_v2_ind_labeled,KG-custom,1.0,431.3685185185185
WN18RR_v2_ind_labeled,KG-pretrained,2.0,338.3666666666667
WN18RR_v2_ind_labeled,KG-finetuned,14.0,316.775
WN18RR_v2_ind_labeled,original_BytE,15.0,206.0
WN18RR_v3_ind_labeled,KG-custom,1.0,406.59814814814814
WN18RR_v3_ind_labeled,KG-pretrained,3.0,395.64166666666665
WN18RR_v3_ind_labeled,KG-finetuned,10.0,353.2
WN18RR_v3_ind_labeled,original_BytE,53.0,383.6666666666667
