,,,Val,Val
,,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'KG pool')","('parameters', 'Corpus input')",,
FB-100_uslabeled,KG-custom,randomWalks,1.0,424.43333333333334
FB-100_uslabeled,KG-finetuned,VandR,3.0,365.525
FB-100_uslabeled,KG-custom,VandR,6.0,390.47777777777776
FB-100_uslabeled,KG-pretrained,VandR,8.0,355.2083333333333
FB-100_uslabeled,KG-custom,E,9.0,419.18333333333334
FB-100_uslabeled,original_BytE,,58.0,450.25
FB-25_uslabeled,KG-custom,randomWalks,1.0,398.84444444444443
FB-25_uslabeled,KG-finetuned,VandR,2.0,372.275
FB-25_uslabeled,KG-custom,E,4.0,413.09444444444443
FB-25_uslabeled,KG-custom,VandR,5.0,385.93888888888887
FB-25_uslabeled,KG-pretrained,VandR,15.0,385.1333333333333
FB-25_uslabeled,original_BytE,,410.0,626.75
FB-50_uslabeled,KG-custom,E,1.0,415.6222222222222
FB-50_uslabeled,KG-pretrained,VandR,3.0,395.7083333333333
FB-50_uslabeled,KG-finetuned,VandR,4.0,371.64166666666665
FB-50_uslabeled,KG-custom,VandR,5.0,374.97222222222223
FB-50_uslabeled,KG-custom,randomWalks,6.0,407.3388888888889
FB-50_uslabeled,original_BytE,,172.0,526.5
FB-75_uslabeled,KG-custom,E,1.0,437.3611111111111
FB-75_uslabeled,KG-custom,VandR,2.0,362.77777777777777
FB-75_uslabeled,KG-custom,randomWalks,3.0,394.0888888888889
FB-75_uslabeled,KG-pretrained,VandR,13.0,377.375
FB-75_uslabeled,KG-finetuned,VandR,22.0,396.30833333333334
FB-75_uslabeled,original_BytE,,42.0,518.75
NL-0,KG-finetuned,VandR,1.0,287.7985074626866
NL-0,KG-pretrained,VandR,2.0,230.15833333333333
NL-0,KG-custom,VandR,17.0,489.55
NL-0,KG-custom,randomWalks,30.0,503.83417085427135
NL-0,KG-custom,E,56.0,520.520202020202
NL-0,original_BytE,,255.0,588.6111111111111
NL-100,KG-custom,VandR,1.0,358.18333333333334
NL-100,KG-custom,randomWalks,3.0,415.55
NL-100,KG-pretrained,VandR,6.0,363.8666666666667
NL-100,KG-custom,E,11.0,435.7
NL-100,KG-finetuned,VandR,40.0,371.9916666666667
NL-100,original_BytE,,521.0,664.9166666666666
NL-25,KG-custom,randomWalks,1.0,447.4095744680851
NL-25,KG-finetuned,VandR,2.0,312.5
NL-25,KG-pretrained,VandR,5.0,311.81666666666666
NL-25,KG-custom,VandR,7.0,434.55555555555554
