parameters,parameters,parameters,Test,Test
Dataset,KG pool,Model,MRR,min ranks
nell_v2_ind,original_BytE,ComplEx_Linear_90_desc_rank,0.4754251630608065,1.0
nell_v2_ind,original_BytE,ComplEx_Linear_90_None,0.46967467818789627,2.0
nell_v2_ind,original_BytE,ComplEx_Linear_90_asc_rank,0.4661396052443302,3.0
nell_v2_ind,original_BytE,ComplEx_Linear_90_desc_size,0.45459082857835104,4.0
nell_v2_ind,original_BytE,ComplEx_Linear_90_asc_size,0.45029270971532986,5.0
nell_v2_ind,KG-finetuned,ComplEx_Linear_90_last_first,0.44291122066352506,6.0
nell_v2_ind,original_BytE,ComplEx_Linear_90_last_first,0.41647041456439654,7.0
nell_v2_ind,KG-finetuned,ComplEx_Linear_90_None,0.40546917784806824,8.0
nell_v2_ind,KG-finetuned,ComplEx_Linear_90_desc_size,0.38930901359826803,9.0
nell_v2_ind,KG-finetuned,ComplEx_Linear_90_asc_rank,0.38197890289301345,10.0
nell_v2_ind,KG-finetuned,ComplEx_Linear_90_asc_size,0.37647607133139804,11.0
nell_v2_ind,KG-finetuned,ComplEx_Linear_90_desc_rank,0.37203863608958,12.0
nell_v2_ind,original_BytE,ComplEx_Linear_multi,0.36526845053884627,13.0
nell_v2_ind,KG-finetuned,ComplEx_GRU_90_None,0.3562937195960004,14.0
nell_v2_ind,KG-finetuned,ComplEx_GRU_multi,0.3452499247167968,15.0
nell_v2_ind,KG-finetuned,ComplEx_LSTM_multi,0.30145257760252675,16.0
nell_v2_ind,original_BytE,ComplEx_GRU_multi,0.28800423613775133,17.0
nell_v2_ind,original_BytE,ComplEx_GRU_90_None,0.27006466560260245,18.0
nell_v2_ind,original_BytE,ComplEx_LSTM_multi,0.2635845499053928,19.0
nell_v2_ind,KG-finetuned,ComplEx_RNN_90_None,0.26275303498719343,20.0
nell_v2_ind,KG-finetuned,ComplEx_LSTM_90_None,0.2269854546312824,21.0
nell_v2_ind,original_BytE,ComplEx_RNN_90_None,0.2242331393132706,22.0
