,,Val,Val
,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'Tie breaker')",,
FB-100_uslabeled,descending_size,1.0,384.2733333333333
FB-100_uslabeled,default,2.0,411.27777777777777
FB-100_uslabeled,ascending_size,4.0,397.71
FB-100_uslabeled,,58.0,450.25
FB-25_uslabeled,descending_size,1.0,392.9166666666667
FB-25_uslabeled,ascending_size,2.0,390.46666666666664
FB-25_uslabeled,default,4.0,397.1777777777778
FB-25_uslabeled,,410.0,626.75
FB-50_uslabeled,descending_size,1.0,400.6066666666667
FB-50_uslabeled,default,2.0,386.3277777777778
FB-50_uslabeled,ascending_size,3.0,393.2966666666667
FB-50_uslabeled,,172.0,526.5
FB-75_uslabeled,descending_size,1.0,406.74666666666667
FB-75_uslabeled,ascending_size,2.0,387.8066666666667
FB-75_uslabeled,default,3.0,385.7611111111111
FB-75_uslabeled,,42.0,518.75
NL-0,ascending_size,1.0,416.26993865030676
NL-0,descending_size,4.0,402.4537037037037
NL-0,default,30.0,504.0845771144279
NL-0,,255.0,588.6111111111111
NL-100,descending_size,1.0,369.30333333333334
NL-100,default,2.0,421.30555555555554
NL-100,ascending_size,7.0,397.9166666666667
NL-100,,521.0,664.9166666666666
NL-25,ascending_size,1.0,391.7916666666667
NL-25,descending_size,2.0,401.126213592233
NL-25,default,11.0,469.1354166666667
NL-25,,25.0,455.8
NL-50,descending_size,1.0,399.1794871794872
NL-50,ascending_size,2.0,403.98722044728436
NL-50,default,3.0,461.9255319148936
NL-50,,52.0,350.93333333333334
NL-75,descending_size,1.0,412.41486068111453
NL-75,ascending_size,3.0,413.139751552795
NL-75,default,15.0,479.40816326530614
NL-75,,148.0,488.5882352941176
WK-100_uslabeled,default,1.0,384.1777777777778
WK-100_uslabeled,descending_size,4.0,402.87666666666667
WK-100_uslabeled,ascending_size,9.0,395.4266666666667
WK-100_uslabeled,,49.0,439.75
WK-25_uslabeled,descending_size,1.0,387.04
WK-25_uslabeled,default,2.0,423.2388888888889
WK-25_uslabeled,ascending_size,4.0,392.86
WK-25_uslabeled,,145.0,313.9166666666667
WK-50_uslabeled,descending_size,1.0,394.9433333333333
WK-50_uslabeled,ascending_size,4.0,398.54
WK-50_uslabeled,default,8.0,395.7055555555556
WK-50_uslabeled,,157.0,387.3333333333333
WK-75_uslabeled,ascending_size,1.0,405.92
WK-75_uslabeled,default,2.0,374.7888888888889
WK-75_uslabeled,descending_size,3.0,396.88666666666666
WK-75_uslabeled,,115.0,477.0
WN18RR_v1_ind_labeled,descending_size,1.0,379.50666666666666
WN18RR_v1_ind_labeled,ascending_size,4.0,379.05333333333334
WN18RR_v1_ind_labeled,,49.0,336.8333333333333
WN18RR_v1_ind_labeled,default,69.0,456.0777777777778
WN18RR_v2_ind_labeled,descending_size,1.0,390.45
WN18RR_v2_ind_labeled,ascending_size,3.0,383.3566666666667
WN18RR_v2_ind_labeled,default,6.0,441.18888888888887
WN18RR_v2_ind_labeled,,15.0,206.0
WN18RR_v3_ind_labeled,ascending_size,1.0,389.44666666666666
WN18RR_v3_ind_labeled,default,5.0,400.3388888888889
WN18RR_v3_ind_labeled,descending_size,6.0,401.7633333333333
WN18RR_v3_ind_labeled,,53.0,383.6666666666667
WN18RR_v4_ind_labeled,default,1.0,416.3833333333333
WN18RR_v4_ind_labeled,descending_size,2.0,400.93
WN18RR_v4_ind_labeled,ascending_size,5.0,383.53333333333336
WN18RR_v4_ind_labeled,,85.0,302.6666666666667
fb237_v1_ind_uslabeled,ascending_size,1.0,722.3638059701492
fb237_v1_ind_uslabeled,descending_size,3.0,729.0612244897959
fb237_v1_ind_uslabeled,default,5.0,743.9972067039106
fb237_v1_ind_uslabeled,,17.0,571.9090909090909
fb237_v2_ind_uslabeled,default,1.0,685.5837988826815
fb237_v2_ind_uslabeled,descending_size,3.0,736.2074074074075
fb237_v2_ind_uslabeled,ascending_size,4.0,753.9906890130354
fb237_v2_ind_uslabeled,,37.0,716.0833333333334
fb237_v3_ind_uslabeled,default,1.0,676.45
fb237_v3_ind_uslabeled,ascending_size,2.0,741.6163873370577
fb237_v3_ind_uslabeled,descending_size,10.0,748.3759259259259
fb237_v3_ind_uslabeled,,35.0,920.75
fb237_v4_ind_uslabeled,default,1.0,575.7972222222222
fb237_v4_ind_uslabeled,descending_size,3.0,618.1551312649165
fb237_v4_ind_uslabeled,ascending_size,6.0,633.2523809523809
fb237_v4_ind_uslabeled,,21.0,675.6666666666666
nell_v1_ind,default,1.0,387.93333333333334
nell_v1_ind,ascending_size,7.0,399.0566666666667
nell_v1_ind,descending_size,16.0,400.1533333333333
nell_v1_ind,,99.0,264.75
nell_v2_ind,descending_size,1.0,385.43333333333334
nell_v2_ind,ascending_size,2.0,402.2633333333333
nell_v2_ind,default,6.0,412.44444444444446
nell_v2_ind,,25.0,289.9166666666667
nell_v3_ind,descending_size,1.0,387.74
nell_v3_ind,ascending_size,3.0,391.74333333333334
nell_v3_ind,default,7.0,425.40555555555557
nell_v3_ind,,41.0,291.8333333333333
nell_v4_ind,descending_size,1.0,393.5
nell_v4_ind,default,2.0,411.18333333333334
nell_v4_ind,ascending_size,3.0,393.13
nell_v4_ind,,47.0,326.5
