,,Val,Val
,,Best rank,Mean rank
"('parameters', 'Dataset')","('parameters', 'Vocab size')",,
FB-100_uslabeled,0.25,1.0,193.5448717948718
FB-100_uslabeled,0.5,2.0,280.8333333333333
FB-100_uslabeled,2.0,3.0,516.7179487179487
FB-100_uslabeled,1.0,4.0,432.22435897435895
FB-100_uslabeled,3.0,6.0,555.0448717948718
FB-100_uslabeled,,58.0,450.25
FB-25_uslabeled,0.25,1.0,192.03846153846155
FB-25_uslabeled,1.0,4.0,441.20512820512823
FB-25_uslabeled,0.5,5.0,294.7371794871795
FB-25_uslabeled,3.0,19.0,517.75
FB-25_uslabeled,2.0,45.0,519.0576923076923
FB-25_uslabeled,,410.0,626.75
FB-50_uslabeled,0.5,1.0,312.39102564102564
FB-50_uslabeled,1.0,2.0,435.7307692307692
FB-50_uslabeled,3.0,3.0,491.12820512820514
FB-50_uslabeled,0.25,4.0,219.24358974358975
FB-50_uslabeled,2.0,19.0,514.0064102564103
FB-50_uslabeled,,172.0,526.5
FB-75_uslabeled,1.0,1.0,436.0064102564103
FB-75_uslabeled,0.5,4.0,259.9935897435897
FB-75_uslabeled,0.25,5.0,163.73076923076923
FB-75_uslabeled,2.0,8.0,557.5448717948718
FB-75_uslabeled,,42.0,518.75
FB-75_uslabeled,3.0,47.0,555.8205128205128
NL-0,0.25,1.0,231.3181818181818
NL-0,0.5,7.0,308.52247191011236
NL-0,1.0,28.0,451.9887640449438
NL-0,3.0,78.0,628.7564102564103
NL-0,2.0,136.0,572.0920245398773
NL-0,,255.0,588.6111111111111
NL-100,2.0,1.0,450.69871794871796
NL-100,3.0,2.0,469.96153846153845
NL-100,0.25,7.0,271.25
NL-100,0.5,25.0,343.2628205128205
NL-100,1.0,38.0,426.37179487179486
NL-100,,521.0,664.9166666666666
NL-25,0.25,1.0,287.5885714285714
NL-25,0.5,3.0,351.0705882352941
NL-25,1.0,20.0,420.8076923076923
NL-25,,25.0,455.8
NL-25,2.0,43.0,509.95512820512823
NL-25,3.0,45.0,519.5641025641025
NL-50,0.5,1.0,368.81065088757396
NL-50,0.25,2.0,310.6931818181818
NL-50,2.0,3.0,481.46794871794873
NL-50,3.0,3.0,492.4102564102564
NL-50,1.0,32.0,441.65384615384613
NL-50,,52.0,350.93333333333334
NL-75,0.25,1.0,266.98265895953756
NL-75,2.0,6.0,498.80128205128204
NL-75,0.5,7.0,402.7584269662921
NL-75,3.0,9.0,483.6474358974359
NL-75,1.0,21.0,500.35955056179773
NL-75,,148.0,488.5882352941176
