parameters,parameters,parameters,Test,Test
Dataset,KG pool,Model,Avg MRR,min ranks
WN18RR_labeled,original_BytE,ComplEx_None,0.0057242796357395,1.0
WN18RR_labeled,original_BytE,ComplEx_asc_rank,0.0028375832690805004,2.0
WN18RR_labeled,original_BytE,ComplEx_asc_size,0.0028375832690805004,2.0
WN18RR_labeled,original_BytE,ComplEx_desc_rank,0.0028375832690805004,2.0
WN18RR_labeled,original_BytE,ComplEx_desc_size,0.0028375832690805004,2.0
WN18RR_labeled,original_BytE,ComplEx_last_first,0.0028375832690805004,2.0
WK-50_uslabeled,Custom,ComplEx_asc_rank,0.0003256232217243333,1.0
WK-50_uslabeled,Custom,ComplEx_asc_size,0.0003256232217243333,1.0
WK-50_uslabeled,Custom,ComplEx_desc_rank,0.0003256232217243333,1.0
WK-50_uslabeled,Custom,ComplEx_desc_size,0.0003256232217243333,1.0
WK-50_uslabeled,Custom,ComplEx_last_first,0.0003256232217243333,1.0
WK-50_uslabeled,original_BytE,ComplEx_,0.00030303542120133336,1.0
WK-50_uslabeled,Custom,ComplEx_None,0.00024840155982666667,6.0
WK-100_uslabeled,original_BytE,ComplEx_asc_rank,0.00035634992449600004,1.0
WK-100_uslabeled,original_BytE,ComplEx_asc_size,0.00035634992449600004,1.0
WK-100_uslabeled,original_BytE,ComplEx_desc_rank,0.00035634992449600004,1.0
WK-100_uslabeled,original_BytE,ComplEx_desc_size,0.00035634992449600004,1.0
WK-100_uslabeled,original_BytE,ComplEx_last_first,0.00035634992449600004,1.0
WK-100_uslabeled,original_BytE,ComplEx_None,0.00030291883631500006,6.0
WK-100_uslabeled,Custom,ComplEx_asc_rank,0.000250456536785,1.0
WK-100_uslabeled,Custom,ComplEx_asc_size,0.000250456536785,1.0
WK-100_uslabeled,Custom,ComplEx_desc_rank,0.000250456536785,1.0
WK-100_uslabeled,Custom,ComplEx_desc_size,0.000250456536785,1.0
WK-100_uslabeled,Custom,ComplEx_last_first,0.000250456536785,1.0
WK-100_uslabeled,Custom,ComplEx_None,0.00019604388937600003,6.0
NL-75,original_BytE,ComplEx_asc_rank,0.0027874111295840003,1.0
NL-75,Custom,ComplEx_asc_rank,0.0026339268550183335,1.0
NL-75,Custom,ComplEx_asc_size,0.0026339268550183335,1.0
NL-75,Custom,ComplEx_desc_rank,0.0026339268550183335,1.0
NL-75,Custom,ComplEx_desc_size,0.0026339268550183335,1.0
NL-75,original_BytE,ComplEx_asc_size,0.0024288317674316666,2.0
NL-75,original_BytE,ComplEx_desc_rank,0.0024288317674316666,2.0
NL-75,original_BytE,ComplEx_desc_size,0.0024288317674316666,2.0
NL-75,original_BytE,ComplEx_last_first,0.0024288317674316666,2.0
NL-75,Custom,ComplEx_None,0.0023439212320333336,5.0
NL-75,Custom,ComplEx_last_first,0.002266912247985,6.0
NL-75,original_BytE,ComplEx_None,0.002156664009551,6.0
NL-0,Custom,ComplEx_asc_rank,0.0020285844826243332,1.0
NL-0,Custom,ComplEx_asc_size,0.0020285844826243332,1.0
NL-0,Custom,ComplEx_desc_rank,0.0020285844826243332,1.0
NL-0,Custom,ComplEx_desc_size,0.0020285844826243332,1.0
NL-0,Custom,ComplEx_last_first,0.0017186021002045001,5.0
NL-0,Custom,ComplEx_None,0.0016409262556816666,6.0
FB-75_uslabeled,Custom,ComplEx_None,0.0007489950973320001,1.0
FB-75_uslabeled,Custom,ComplEx_asc_rank,0.000710703851547,2.0
FB-75_uslabeled,Custom,ComplEx_asc_size,0.000710703851547,2.0
FB-75_uslabeled,Custom,ComplEx_desc_rank,0.000710703851547,2.0
FB-75_uslabeled,Custom,ComplEx_desc_size,0.000710703851547,2.0
FB-75_uslabeled,Custom,ComplEx_last_first,0.000710703851547,2.0
FB-75_uslabeled,original_BytE,ComplEx_,0.000395780181988,1.0
